problem,algo,time,wfomc
zt40_p03,inc2,42.97723615198629,"199232325743400792080544481834969719064510089366715220714755886166150846901556029670378470773497743055103227600759240690573201458684024895260401664338823187169824049572040569724655305566349867983127274089763699709557126262515449157581540615825825511255087804462650609093029132989738304426873961903622957541882288862067775333726826757258526076615215364349742194529600749779210268568739588216729504483948953854728567475273961020697327564638381804551580869923364699446003243383300406117810901866639631166779594934623881849246901842276492064018655705384470541106614385288194118999730725015749899935370066782855306246987070574816395488953187119163587098523460057455916262155945593236859568696312900555635188038431716796875/493118378773666493236005808848113280646424906459281677736363913383860094282041792193560812553755393427867400526762359916597283312232832658311281622107670335702985799671951234310153163915857728680359766210694390385082889078409114931668672093787783362893396695740300064741326536430985501229973638902647863548613194784388249853831252667031319724958132568898411896638150110768600863536200871492771279798342546336760614070411100118371556871830774626226863061725361438464769373851178286891558183314925099540247780495920664946518646198552749613009880449926596639031121858756000207590413184793166384097191709192063287296"
zt50_p03,inc2,171.35359377897112,"2154487685321760198002220428344218798625057609475088226958296749117413519776410489501645733015794133908408455559842504946272106812670450693815633954921824170182199381787207207213603068795435546513294035558627236811007503509170509220490293156030446755653841381385664199809793303148211330156361755827263183870498004082201205843557320259179108090314239416981849700999988927976506807117346102082510041587110435812927812618034329928104689610013122645124342585654948914502832032002957461761171669911285453544226549186160976338106153354492827776224414127812466086070080394169666895744421923935076516762294159239574106062729949783783524007890691460482711661213594881279176987136241924614554256531701339575297007175064192677272668091031604312163211683938096330480781707712064945568750037350485329632114029572493292935033300861112344955296001115780859228881792685583499054780694746571179684462759099963735595703125/12913352557269536832011810630414799723829386362798618265295963482472230671443589892196416836036853771667255733032289420642681125122929916321340272165073705541016060597513947361757223378401859163012916907099038667878605110755620165280809513537251644371169135706297289204509239154680021069675503841292331131801958415918306455994984337828671428365068769158521085909498149624896578205652663578697065578496742443602976231534884622759186257805614146888239997535917929385774387919260359696147417418238251761705475331846103098074803179171296986796359415826233648870759365431140921141043956608783471056558931606246365976924953347053380560112128526069244699920184488769506466363074847546241236630576122316630443684317675760547560041297032018693194591523386616439880042938368"
zt60_p03,inc2,553.7193812129553,"2618098598498501260348620693004425268987173463517304360414101630318923061346939851373821634760523643063712753977753136672303141779591942398351438986643230874711902089009154796932782983584021781361610812354687555840672718310923325173937949766930009009233726248872661669166548160518562561485315969495100469161992783114674383737327117108008150107375016059831720650715655569973142578607179072291137161889993586190792094461525405114151348648238755681969236628635845440785266537505700649273633350786240791235774427154406862591506197113098959263218483790167182107631581269620103757561113577746023108683810597436252187308865338754355866626450159980169054221135308867376380927845785579564264165186531306359344078577982067903208998647952984238450870841272490189958271400115749089896514108137194227228060822107588385552959797709823781874320927578615353844562033520923786673231945276005442030582874074358876234530981302247815311895771664014284543043517410162779691103714768472245812807050290671528119490813798048420367120694874824074836085626472768186498065377736351687433446435535819423937517516864013671875/692559003278012044770658318198272510848876854939805893500028389964962450384749201028029447142257500559249658316967549019335571479146486177642689427398089456681264834368996679645067435620910123252897830701713778066006860797408116439339707418606462751908446404820057140915778368918666479536153234193220795551907210769600127317465112397690041089087425776535052089991009765813015413777402489016174098557421437996179560466576327681645112482554104157308643494976509061197237269711445141636172051396988325973637049294115580345349194020122141840111656276492469997098001598698617614342803779835498890595080754946957651179440174801814350099975740299647645816749848319941335479044825361053945576197754234215680824299087403690289441530310952817471943553151778926347592253070430133373749600853685438084134464490352334238425132907328482756001596893157500043072214367932886986880184787859882230337668225698818557454867018212611981312"
zt70_p03,inc2,1450.808913455985,"21784642155457280629226529405613709610877297595707229155638861758452225932906350046241839707043312351813588508476222022222170601553492506187749992463007298963880219019848570953685383008159481322115235469603184548198077744132118382006038718518208390696887386741918645580094400292296794721515006659255660548229207765348189430954747479272617373475115399207821510747581926164287177984059404527751243179274913796203775023214919896201287487086725214940689448332466750469606026136686820565272784762312628277566078728672813467241768365878588834408011132525561380011458744353863958135899788599352639325345090943169865003088352330069945961221751349404931601029223991823109169194218993735862189109545043693192927857415061266771567157020082963368582590332529898193558479376997565285008816832993529547935200268583414048518494909305541878154014392056280942805112655801068860131202687772051014840217573990642987698284270218493421411022058100734849008773382350287409529601013977103686546930832457011734111715988282891291014203353570813463732703467064336833100947251083986075981925598128062677900847902179939111237946349181318917322628480209137569733858644975816757509657543548476017374220224294975313801175729406821930346587661138454582720709838091108344993590457884262542365289048857354099884033203125/9068064546976631829108659579873620373472091252047813756041145065338943399622076685464804532666984337196239026528128882147429384937080388663249071878856272657539071229534386804352469528088414815902029504116560844307164165597057679175355621701977397297563925087930728714803316046474804756022269311170313794739485978571458573419306229170788599125085213558759442965741441582958502447959787123267635375846616191051229511224063724560034065793390317559059493945661435320847847443823964047236044990810079944392373500282170414188521557760308756710894500660159380956068189466308690965481471345139749883837553382663531887444324985654288077039609246542404196521493180740744616670809494980238330781245087310825880194930987318017559307113892848698974465374872134728937264272617475623907821500826700652733535016390404939887825044868390283302765256042716294882962496308031760452785363358914298560823544777121941041761461293456585973494803481342551416982833430538381028616445807604689964249491105407348029616302322476158539242053127438038883772359798843798328110760996511987546086965248"
zt80_p03,inc2,3398.3809318990097,"1614136412701940334143579207008898568868549569013607977555717790059475735532157914477678529865190968439711345947567452769736592437073471511681957810929924665375805880512032058809201067511130575291221175539210157472755331095371011350576607590110309489825700272828069290838408722275420654908807921061286260989235345832533779945061805057359937848299989371958370316823342393861547024556877966298711549227520682545189501929661504304422433711648888887945437238517798850699914658020071803974873864245685573186238557474571768037965210751238430539340752287816943572257128406088907938106468555551659134326136166527997671097107194405436844281451238266493604220849781620304696131576291485650876513237832163936720457020577569331800524094234288341114829905070642463977662025125581045947200866213660595659010445209383942257850028444277040563982293644896821837513077220589698456086344746604944591046471769009407614550400034302067167734200650055807728684127214811185932505468390243016597537910338503773642896599768688103451946994713443410372536478424826326484405082351693769855791459441637078470880401844297880485209075563028478203485060168634164500365716750354107822784012691696638153024115808301205430747235745302255247173331882641088019908110044507125587395610192718299033851368996842216136671454126578339137038432689227528690733826244541893086788226509291139456026198379247715430199258528236044455577043511363415601659591908519488086731409393203700369072379747895960596564551348133087158203125/60791433871092304278383538517904490149810691890736563386409164131849183932153825697537209602014485184387892177004789865924253445013064984654963254454275900378471530074236798003569803557730263466622451670226637869280315868055780461621024569283739350357605604728788818702525694897638087225755908164637979877104920974052615218443499507277171415078894901871263484313561738028834750003645452663052956081326924937304883001274326694805320395045437144152790801314415237944864692228245263317852155919596143770512982200015313944861521770666225162907339870687204922504101326505558572566964779881551649001477204477093892324309784832056218619157195314496062207537592786496400233486336258299280773305520152503154335800754505056836920791241989886356749501458450663575890606217251108848174584149632125135677039096732829611111969178837106732301628973924261715477785495979969891254290294930974476915468208164509549755683438331232343109844177282814427787114860255498309937874057401428596771616715693147625471434393069626811060498577278087570458786158733600717571421456963768103542490069131418417255599070192373034132564027728172274369188347470744220880869483671157104317442455870472678634671417135773896654811857779378655450191013736458747904"
zt90_p03,inc2,6602.540314815997,"22726737500641818578866288847809760511786861083767505952154141001544104628401995745662553019244680852183759495897943261614506319393235425312053484341471927116041715086797660834942051376406660435758508279276636606501159907443023261617336042350757991184259365476654425224283333433550483883035386139594207457588826784526514901699403994262100276561504599858217432128019995384814870637797350863548825427831687457239279328006489129210936339855755322412952939434276759173132111500849758139354508341416350449658966470614002496952022880295452241563775160627061618696512706042133807621033947725021931445781319111539513043678696726019538963599219156636690401795440804936007638280461130534503732525748275390443839144173073219767351153354683518719795594557545036083915255068390983664100410160503781608777569774524263430991336094120955175383106003200475925216001940946735803148687054672418493553862593585042185527113677197519966549556796674010736754587817950860286276711012732801484358968528464510212195430050137590921942260989119209600983758952975466643418587872996273660794591979923830148656751967655785545860945269405459842619183606312912980267073376030516276834727169991050713448030343882239780228858039473613111797604318344445905142947732482610255406803722246124828423790267308453312929431983639696768645161516000290693835311724679546150746698353300793563351043043940441352781202559021560205624489712708679966069078564650354737756532419479446915242645127170912889058395652185137086989839050283363295455946564574429602041694374888801256843321995013255105307892603808563258510786380155751531965472020490584598608369336301688815730902520533755994255397192875949206300738811492919921875/6367811477573534300315852966689460287337207268552090144753537316849526356886753867435944287881685530656161065321068769076040985273468200739945378940656206867293030629326289157479273422961157225326570818393240684577460499298296834676195808858114313287927717396833652092831175017457327604951204596663716329154571822279412841317784724056132295208841552202998010545924168791900558234004669028423985374726487243581852678392466717020953307409336046882323938513031367455405116170508314735674832000057262554107982709075237008219384607638941436770254836466007132777585872188678394228585101279072947569170439397338185534072050593533560240199998251595516431017025085440756210486235943052333091304784481045178348771284325786535237102427858000423987649589144624633984372981878805875572723884549458803506214102039651415502633266784156252256308628048206177580079929660798805024057382724856722353909720697831560116082728646188518628358000252515880940919089077494368952856441556487853656237555271863706535499740407091459139020617162274002493967926585546426104848851199226384098740407319567394709220427408292816504608880127943008584672689370333637591142784678672151610000433413110522392851150108567586364792166902469403586514379921059456241483327151428903649026559597442347110167451657246058474408780721465150361429202783117603332182886814414490045065185907726211088565659404989560589205372928"
zt4_p03,inc,0.08186106901848689,"17130982140344351076288159205679399177098838922386615650367689245/25711008708143844408671393477458601640355247900524685364822016"
zt5_p03,inc,0.2630687410128303,"1689723757935414111401518585838634464915301153646560427674501608967198019610137335/57896044618658097711785492504343953926634992332820282019728792003956564819968"
zt6_p03,inc,2.7163316620280966,"14777374642733328356727223997783464032882237845077070518129476682494833893051198425133036528514775/8148143905337944345073782753637512644205873574663745002544561797417525199053346824733589504"
zt8_p03,inc,236.70512417797,"5546232431139295537383759423907134557539018650266748856677299191446672157427995991695961090702614278714654245428002754628341126370565/330527984395124299475957654016385519914202341482140609642324397637202895618155672912594605219857642423795606012511679152128"
